symbol,purchase_price,position_size,investment_account,investment_reason,stop_loss,target_risk_reward_ratio,purchase_date,status,actual_profit_lost,actual_profit_lost_pct,exit_comments,take_profit,earnings_target,earning_target_pct,loss_target,loss_target_pct,final_filled_price,final_PL,final_pct_revenue,closing_date,key,investment_type,target_take_profit,target_profit,target_profit_pct,target_loss,target_loss_pct
SMH,258.71,180,Robinhood Retirement,"Go fo stocks related with AI, including NVDIA",250.0,2.0,25-Jun-24,close,0.0,0.0,Reach expected earning after re-evaluating exit price,314.77,7772.4,0.16,-3886.2,-0.08,270.95,2203.2000000000044,0.04731,07-05-2024,2iZ94H1AigMnPVTlQJVOtFwEQLyV7wjJVogCXS1EiIk=,Long,,,,,
SMH,260.49,100,Robinhood Investment,"Go fo stocks related with AI, including NVDIA",250.0,2.0,25-Jun-24,close,0.0,0.0,Close position after seeing some earnings,281.47,2098.0,0.08,-1049.0,-0.04,269.35,886.0,0.03401,7/5/2024,GdCX38BGsnq7tolJ99R58doN9OrfI1Kx/XyjyjXhkDM=,Medium,,,,,
NVDA,121.09,40,Robinhood Retirement,Investment after 1 to 10 split of NVDA,118.0,2.0,11-Jun-24,close,0.0,0.0,Reach take profit target,127.27,247.2,0.05,-123.6,-0.03,127.71,264.7999999999993,0.05467,07/03/2024,S54Pq2Ea9VqKhvsvO7mTpFRi8uoJfx4jbMHrRMlJGcs=,Long,,,,,
VOO,491.86,192,Robinhood Retirement,Long term investment,498.0,2.0,6-Jun-24,close,0.0,0.0,Reach take profit target,508.89,3269.76,0.03,1178.88,0.01,508.61,3216.0,0.03405,07/25/2024,uhA5VhVwNwewlh1JIhPa+o/03PmqROGAi0R+FfjGZ+4=,Long,,,,,
VGIT,58.34,17,Robinhood Retirement,"Fixed income securities issued by the US government, basically bonds, in case I need to turn to this",57.0,2.0,4-Mar-24,open,0.0,0.0, ,61.02,45.56,0.05,-22.78,-0.02,0.0,0.0,0.0,,DcrxXQClSODN3VG08ZxnfxtksIiqNUkf8lcRErZbrl0=,Long,,,,,
XLF,41.35,759,Robinhood Retirement,Diversify on an ETF which focus on financial sector,40.32,2.0,6-Jun-24,open,0.0,0.0, ,43.41,1563.54,0.05,-781.77,-0.02,0.0,0.0,0.0,,tyZlY8oA0fpROxF5C/l9v3h7llVj4c0saOZp/cYpwa8=,Long,,,,,
VYM,119.78,264,Robinhood Retirement,Diversify on an ETF based on high dividend,117.0,2.0,6-Jun-24,open,0.0,0.0, ,125.34,1467.84,0.05,-733.92,-0.02,0.0,0.0,0.0,,oMb13WWLKo7CXbxjDSSU+RU1D7FRGoeCjFezCRHq4JA=,Long,,,,,
SLV,28.6,1098,Robinhood Retirement,Diversify on an ETF based on silver,25.57,2.0,6-Jun-24,close,0.0,0.0,I did not like the behavior of this asset,34.66,6653.88,0.21,-3326.94,-0.11,28.68,87.83999999999651,0.0028,07/05/2024,dtYLWI2oaOIUL02msLEUNSNS8By7/vQ/PH18AsB9Aj8=,Long,,,,,
GLD,219.64,143,Robinhood Retirement,Diversify on an ETF based on gold,212.0,2.0,6-Jun-24,close,0.0,0.0,I did not like the performance of this asset,234.92,2185.04,0.07,-1092.52,-0.03,220.62,140.14000000000306,0.00446,07/05/2024,68uKis5+DhkgSlIFhore1GCoHVxdBKaiAj5y89vqmME=,Long,,,,,
QQQM,196.12,215,Robinhood Retirement,Position to concentrate in technology,190.0,2.0,25-Jun-24,open,0.0,0.0, ,208.36,2631.6,0.06,-1315.8,-0.03,0.0,0.0,0.0,,b3KuuFIIcMTYTIsep9F0bCa/CZtSTgU13Tb8sJUjMS4=,Long,,,,,
CELH,57.99,500,TradeStation Simulation,Finding for day trading,55.56,2.0,28-Jun-24,close,0.0,0.0,"Close position earlier to secure winning, price only went to 58.36",62.85,2430.0,0.08,-1215.0,-0.04,58.26,135.0,0.00466,7/1/2024,KhiLyn6X8waN4frP0T1jYIV1rBDPlrrbbBZja3F0Ya0=,Long,,,,,
AMKR,40.1,500,TradeStation Simulation,Finding for day trading,39.88,2.0,1-Jul-24,close,0.0,0.0,"Executed as expected, closed automatically by bracket configuration",40.54,220.0,0.01,-110.0,-0.01,40.54,220.0,0.01097,7/1/2024,CWUl+mFjtb6c4AYtD+KMxt50psTuWsX5Xtda1IPeAY8=,Long,,,,,
EVCM,11.4,1000,TradeStation Simulation,Based on High Relative Streght Screen,11.21,2.0,3-Jul-24,close,0.0,0.0,Need to pull ATR data to create proper get profit and stop criterias,11.78,380.0,0.03,-190.0,-0.02,11.2,-200.0,-0.01754,7/3/2024,muVqFwUDYXqxLNuB1Y7glOb9A1ZjUYGeSZbyLdhzCls=,Long,,,,,
SMH,276.7,400,TradeStation Simulation,Based on Gap Down,273.44,2.0,2024-07-10,open,0.0,0.0, ,,,,,,,,,,vwQD3weie9Guc/gVFsFWV40SPvC+g/rSbNikKcAHLAg=,Long,283.21999999999997,2607.9999999999854,0.023563426093241645,-1304.0,-0.011781713046620889
