,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
ONDS,2.405,0.3659390075070721,66000.0,27442,0.33,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.3967,0.3637431939977922,66000.0,27537,0.33,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.405,0.3659390075070721,66000.0,27442,0.33,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.395,,66000.0,27557,0.33,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.215,,66000.0,2842,0.33,22.32999992370605,2025-07-02 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.39,,10000000.0,4184100,50.0,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.2267,,10000000.0,430538,50.0,22.32999992370605,2025-07-02 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.2153,,10000000.0,4514061,50.0,1.7100000381469729,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.075,,10000000.0,433369,50.0,22.475000381469727,2025-07-08 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.0601,,10000000.0,4854133,50.0,2.0199999809265137,2025-07-22 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.6627,,10000000.0,422606,50.0,22.625,2025-07-14 00:00:00-04:00,2026-03-18 14:56:51
ONDS,2.12,,10000000.0,4716981,50.0,1.7799999713897705,2025-07-29 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.54,,10000000.0,424808,50.0,22.6299991607666,2025-07-16 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.37,,20000000.0,855798,100.0,22.71199989318848,2025-08-01 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.76,,10000000.0,420875,50.0,22.71199989318848,2025-08-01 00:00:00-04:00,2026-03-18 14:56:51
MAGS,60.68,,10000000.0,164798,50.0,56.5,2025-08-01 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.6,,10000000.0,423728,50.0,23.13999938964844,2025-08-04 00:00:00-04:00,2026-03-18 14:56:51
MAGS,60.32,,10000000.0,165782,50.0,57.290000915527344,2025-08-04 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.04,,10000000.0,434027,50.0,22.71999931335449,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
MAGS,58.38,,10000000.0,171291,50.0,57.83000183105469,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.525,,10000000.0,425079,50.0,22.71999931335449,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
MAGS,59.67,,10000000.0,167588,50.0,57.83000183105469,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.5299,,10000000.0,424991,50.0,22.71999931335449,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
MAGS,59.735,,10000000.0,167406,50.0,57.83000183105469,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.51,,10000000.0,425350,50.0,22.71999931335449,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
MAGS,60.3,,10000000.0,165837,50.0,57.83000183105469,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
GRNY,23.3485,,10000000.0,428293,50.0,22.71999931335449,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
MAGS,60.8499,,10000000.0,164338,50.0,57.83000183105469,2025-08-20 00:00:00-04:00,2026-03-18 14:56:51
GRNY,24.63,,2142857.142857143,87001,14.285714285714286,24.315000534057617,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
MAGS,64.0143,,2142857.142857143,33474,14.285714285714286,61.27999877929688,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
RR,4.0412,,2142857.142857143,530252,14.285714285714286,2.859999895095825,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
SERV,11.9099,,2142857.142857143,179922,14.285714285714286,10.829999923706056,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
URA,48.48,,2142857.142857143,44200,14.285714285714286,41.66999816894531,2025-09-12 00:00:00-04:00,2026-03-18 14:56:51
AIQ,48.69,,2142857.142857143,44010,14.285714285714286,47.0099983215332,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
SHLD,68.05,,2142857.142857143,31489,14.285714285714286,64.19999694824219,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
GRNY,24.6347,,2142857.142857143,86985,14.285714285714286,24.315000534057617,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
MAGS,64.11,,2142857.142857143,33424,14.285714285714286,61.27999877929688,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
RR,4.0735,,2142857.142857143,526048,14.285714285714286,2.859999895095825,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
SERV,11.955,,2142857.142857143,179243,14.285714285714286,10.829999923706056,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
URA,48.59,,2142857.142857143,44100,14.285714285714286,41.66999816894531,2025-09-12 00:00:00-04:00,2026-03-18 14:56:51
AIQ,48.73,,2142857.142857143,43974,14.285714285714286,47.0099983215332,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
SHLD,68.04,,2142857.142857143,31494,14.285714285714286,64.19999694824219,2025-09-11 00:00:00-04:00,2026-03-18 14:56:51
GRNY,24.8299,,2142857.142857143,86301,14.285714285714286,24.354999542236328,2025-09-17 00:00:00-04:00,2026-03-18 14:56:51
MAGS,64.4959,,2142857.142857143,33224,14.285714285714286,63.34999847412109,2025-09-17 00:00:00-04:00,2026-03-18 14:56:51
RR,4.175,,2142857.142857143,513259,14.285714285714286,3.359999895095825,2025-09-15 00:00:00-04:00,2026-03-18 14:56:51
SERV,11.44,,2142857.142857143,187312,14.285714285714286,11.260000228881836,2025-09-17 00:00:00-04:00,2026-03-18 14:56:51
URA,48.17,,2142857.142857143,44485,14.285714285714286,42.09999847412109,2025-09-15 00:00:00-04:00,2026-03-18 14:56:51
AIQ,49.185,,2142857.142857143,43567,14.285714285714286,47.619998931884766,2025-09-15 00:00:00-04:00,2026-03-18 14:56:51
SHLD,69.64,,2142857.142857143,30770,14.285714285714286,65.33999633789062,2025-09-18 00:00:00-04:00,2026-03-18 14:56:51
GRNY,25.14,,2142857.142857143,85236,14.285714285714286,24.39999961853028,2025-09-25 00:00:00-04:00,2026-03-18 14:56:51
