,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
HODL,30.77,0.134425896458045,4000.0,129,0.04,28.739999771118164,2025-06-05 00:00:00-04:00,2026-03-18 07:56:46
SGOL,31.75,0.0793132097806621,24000.0,755,0.24,31.209999084472656,2025-05-30 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.3,0.0676017614048049,24000.0,426,0.24,55.18000030517578,2025-05-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,48.59,0.0573836148189993,24000.0,493,0.24,46.72999954223633,2025-05-30 00:00:00-04:00,2026-03-18 07:56:46
HODL,31.69,0.1248668872316574,4000.0,126,0.04,29.65999984741211,2025-06-24 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.315,0.0692929148238388,24000.0,418,0.24,55.709999084472656,2025-06-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,31.6103,0.0593794194045135,24000.0,759,0.24,31.049999237060547,2025-06-27 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.605,0.058986416409251,24000.0,483,0.24,48.58000183105469,2025-06-24 00:00:00-04:00,2026-03-18 07:56:46
HODL,31.62,0.1232342529518052,4000.0,126,0.04,29.65999984741211,2025-06-24 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.3063,0.0691819090194088,24000.0,418,0.24,55.709999084472656,2025-06-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,31.62,0.0595861612782809,24000.0,759,0.24,31.049999237060547,2025-06-27 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.605,0.0590361102439701,24000.0,483,0.24,48.58000183105469,2025-06-24 00:00:00-04:00,2026-03-18 07:56:46
HODL,31.5,0.1206106786374692,4000.0,126,0.04,29.80500030517578,2025-07-01 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.265,0.0686318591176785,24000.0,419,0.24,55.709999084472656,2025-06-25 00:00:00-04:00,2026-03-18 07:56:46
SGOL,31.6349,0.0600016598681812,24000.0,758,0.24,31.049999237060547,2025-06-27 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.5999,0.0589600206986472,24000.0,483,0.24,49.0099983215332,2025-06-25 00:00:00-04:00,2026-03-18 07:56:46
HODL,33.755,0.1677601284576523,4000.0,118,0.04,30.39999961853028,2025-07-07 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.5812,0.0822608813478178,24000.0,736,0.24,31.350000381469727,2025-07-08 00:00:00-04:00,2026-03-18 07:56:46
VWO,50.595,0.0735219051165345,24000.0,474,0.24,49.36000061035156,2025-07-07 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.0206,0.0653654191672432,24000.0,420,0.24,56.18000030517578,2025-07-16 00:00:00-04:00,2026-03-18 07:56:46
HODL,33.4607,0.1619672302092709,4000.0,119,0.04,32.540000915527344,2025-07-25 00:00:00-04:00,2026-03-18 07:56:46
VWO,50.535,0.0721127024536997,24000.0,474,0.24,49.5099983215332,2025-07-14 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.325,0.0694249791739009,24000.0,418,0.24,56.18000030517578,2025-07-16 00:00:00-04:00,2026-03-18 07:56:46
VTI,313.98,0.06700363788317,24000.0,76,0.24,304.0,2025-07-16 00:00:00-04:00,2026-03-18 07:56:46
HODL,33.355,0.1598617252418536,4000.0,119,0.04,32.540000915527344,2025-07-25 00:00:00-04:00,2026-03-18 07:56:46
VTI,312.26,0.062950774661737,24000.0,76,0.24,304.0,2025-07-16 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.825,0.0624271151864915,24000.0,481,0.24,49.70500183105469,2025-07-31 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.28,0.0553697646911568,24000.0,426,0.24,56.10350036621094,2025-07-31 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.015,0.0954218566606974,4000.0,124,0.04,31.98500061035156,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.0395,0.0544099362958802,24000.0,749,0.24,31.15999984741211,2025-07-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.5255,0.0426961114242937,24000.0,484,0.24,49.36989974975586,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.0047,0.0400557396939576,24000.0,428,0.24,55.685001373291016,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.01,0.0953076845355968,4000.0,124,0.04,31.959999084472656,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.02,0.0539398094245815,24000.0,749,0.24,31.15999984741211,2025-07-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,49.54,0.0429062095330315,24000.0,484,0.24,49.369998931884766,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.02,0.0402705075744692,24000.0,428,0.24,55.68000030517578,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.16,0.098717569975381,4000.0,124,0.04,31.86000061035156,2025-08-05 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.22,0.0587346475201151,24000.0,744,0.24,31.15999984741211,2025-07-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,50.16,0.0525904106117827,24000.0,478,0.24,49.369998931884766,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.9,0.0524283951787458,24000.0,421,0.24,55.68000030517578,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.16,0.098717569975381,4000.0,124,0.04,31.86000061035156,2025-08-05 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.22,0.0587346475201151,24000.0,744,0.24,31.15999984741211,2025-07-30 00:00:00-04:00,2026-03-18 07:56:46
VWO,50.16,0.0525904158930733,24000.0,478,0.24,49.369998931884766,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VEA,56.9,0.0524283877296201,24000.0,421,0.24,55.68000030517578,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.26,0.1009732239369707,4000.0,123,0.04,31.86000061035156,2025-08-05 00:00:00-04:00,2026-03-18 07:56:46
SGOL,32.19,0.0580192335128191,24000.0,745,0.24,31.15999984741211,2025-07-30 00:00:00-04:00,2026-03-18 07:56:46
VEA,57.175,0.0569860198630632,24000.0,419,0.24,55.68000030517578,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VWO,50.1965,0.0531530808957418,24000.0,478,0.24,49.369998931884766,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,33.44,0.1265710239268438,4000.0,119,0.04,31.86000061035156,2025-08-05 00:00:00-04:00,2026-03-18 07:56:46
VEA,58.535,0.0741109239825652,24000.0,410,0.24,55.68000030517578,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VWO,51.1876,0.0681245507610622,24000.0,468,0.24,49.369998931884766,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
VTI,317.04,0.0624246108781621,24000.0,75,0.24,304.3999938964844,2025-08-01 00:00:00-04:00,2026-03-18 07:56:46
HODL,32.91,0.115300781436491,4000.0,121,0.04,31.86000061035156,2025-08-05 00:00:00-04:00,2026-03-18 07:56:46
VEA,58.81,0.0775646742040362,24000.0,408,0.24,56.59000015258789,2025-08-04 00:00:00-04:00,2026-03-18 07:56:46
VWO,51.75,0.0763650931022017,24000.0,463,0.24,49.869998931884766,2025-08-04 00:00:00-04:00,2026-03-18 07:56:46
VTI,316.59,0.061338710512798,24000.0,75,0.24,307.5799865722656,2025-08-04 00:00:00-04:00,2026-03-18 07:56:46
HODL,31.73,0.0888562836800486,4000.0,126,0.04,31.65999984741211,2025-08-21 00:00:00-04:00,2026-03-18 07:56:46
VEA,58.61,0.0750093984749421,24000.0,409,0.24,57.47999954223633,2025-08-07 00:00:00-04:00,2026-03-18 07:56:46
VWO,51.27,0.069343208349529,24000.0,468,0.24,50.5,2025-08-11 00:00:00-04:00,2026-03-18 07:56:46
