,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLK,239.53,0.0766871282231156,33000.0,137,0.33,227.4199981689453,2025-05-30 00:00:00-04:00,2026-03-18 07:58:47
XLI,144.8,0.0709102838005736,33000.0,227,0.33,140.83999633789062,2025-06-02 00:00:00-04:00,2026-03-18 07:58:47
XLC,103.41,0.0633364748143469,33000.0,319,0.33,100.04000091552734,2025-05-30 00:00:00-04:00,2026-03-18 07:58:47
XLK,257.61,0.1188338751742499,33000.0,128,0.33,245.0599975585937,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLI,149.95,0.08535034729711,33000.0,220,0.33,143.4600067138672,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,107.015,0.0731940497978358,33000.0,308,0.33,104.4000015258789,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLK,257.7,0.1191928924550743,66000.0,256,0.33,245.0599975585937,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.02,0.0855375427669949,66000.0,439,0.33,143.4600067138672,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,107.04,0.0734105138084932,66000.0,616,0.33,104.4000015258789,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLK,257.84,0.119619896679271,66000.0,255,0.33,245.0599975585937,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLI,149.91,0.0849885358885279,66000.0,440,0.33,143.4600067138672,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,107.055,0.0735403393320048,66000.0,616,0.33,104.4000015258789,2025-06-24 00:00:00-04:00,2026-03-18 07:58:47
XLK,256.62,0.1154344763673338,66000.0,257,0.33,248.3000030517578,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.805,0.0905094112301868,66000.0,437,0.33,143.4600067138672,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLC,106.61,0.0696732145020271,66000.0,619,0.33,105.04000091552734,2025-06-25 00:00:00-04:00,2026-03-18 07:58:47
XLK,260.25,0.127839530424707,66000.0,253,0.33,253.1999969482422,2025-07-14 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.22,0.0868767929630174,66000.0,439,0.33,147.8699951171875,2025-07-07 00:00:00-04:00,2026-03-18 07:58:47
XLC,108.045,0.0819868647560353,66000.0,610,0.33,105.56999969482422,2025-07-11 00:00:00-04:00,2026-03-18 07:58:47
XLK,263.35,0.1379743829633807,66000.0,250,0.33,253.1999969482422,2025-07-14 00:00:00-04:00,2026-03-18 07:58:47
XLI,154.83,0.1140074258277116,66000.0,426,0.33,148.38999938964844,2025-07-16 00:00:00-04:00,2026-03-18 07:58:47
XLC,107.26,0.0753110329858392,66000.0,615,0.33,105.63999938964844,2025-07-18 00:00:00-04:00,2026-03-18 07:58:47
XLK,262.98,0.1368271105179116,66000.0,250,0.33,254.8099975585937,2025-07-16 00:00:00-04:00,2026-03-18 07:58:47
XLI,152.27,0.0991701046752774,66000.0,433,0.33,148.38999938964844,2025-07-16 00:00:00-04:00,2026-03-18 07:58:47
XLC,107.939,0.0811363835382193,66000.0,611,0.33,105.63999938964844,2025-07-18 00:00:00-04:00,2026-03-18 07:58:47
XLK,257.07,0.0862823650020307,66000.0,256,0.33,255.77999877929688,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLU,85.8,0.0640589172622139,66000.0,769,0.33,83.41000366210938,2025-07-28 00:00:00-04:00,2026-03-18 07:58:47
XLI,149.74,0.060861777373297,66000.0,440,0.33,148.1300048828125,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLK,259.82,0.0959533802370125,66000.0,254,0.33,255.77999877929688,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLU,86.29,0.0692658051760139,66000.0,764,0.33,83.41000366210938,2025-07-28 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.3,0.064174116970719,66000.0,439,0.33,148.1300048828125,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLK,260.12,0.0969960362471229,66000.0,253,0.33,255.77999877929688,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLU,86.39,0.0704509048568871,66000.0,763,0.33,83.41000366210938,2025-07-28 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.81,0.0675249862718677,66000.0,437,0.33,148.1300048828125,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLK,267.415,0.1216297050317748,66000.0,246,0.33,255.77999877929688,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLC,111.365,0.0899420760071415,66000.0,592,0.33,105.63999938964844,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLY,229.655,0.072820960006857,66000.0,287,0.33,214.75,2025-08-01 00:00:00-04:00,2026-03-18 07:58:47
XLK,266.27,0.1178525841103843,66000.0,247,0.33,259.489990234375,2025-08-04 00:00:00-04:00,2026-03-18 07:58:47
XLC,110.8,0.0853014395890157,66000.0,595,0.33,106.63500213623048,2025-08-07 00:00:00-04:00,2026-03-18 07:58:47
XLY,229.96,0.0741111744643847,66000.0,287,0.33,217.0599975585937,2025-08-04 00:00:00-04:00,2026-03-18 07:58:47
XLK,258.91,0.0927758985321675,66000.0,254,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLC,109.73,0.0763820241179527,66000.0,601,0.33,106.63500213623048,2025-08-07 00:00:00-04:00,2026-03-18 07:58:47
XLI,150.68,0.0667205016788746,66000.0,438,0.33,149.7899932861328,2025-08-07 00:00:00-04:00,2026-03-18 07:58:47
XLK,264.02,0.1103348517955913,66000.0,249,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLC,111.41,0.0903096625658643,66000.0,592,0.33,106.63500213623048,2025-08-07 00:00:00-04:00,2026-03-18 07:58:47
XLI,153.52,0.0838064014410707,66000.0,429,0.33,149.7899932861328,2025-08-07 00:00:00-04:00,2026-03-18 07:58:47
XLK,263.03,0.1069863053224478,66000.0,250,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLY,233.7,0.0889285619943655,66000.0,282,0.33,224.4600067138672,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLC,111.0,0.0869495513083579,66000.0,594,0.33,108.62999725341795,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLK,263.03,0.106986304113873,66000.0,250,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLY,233.7,0.0889285619943655,66000.0,282,0.33,224.4600067138672,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLC,111.0,0.0869495451032697,66000.0,594,0.33,108.62999725341795,2025-08-12 00:00:00-04:00,2026-03-18 07:58:47
XLC,113.515,0.0880943620674444,66000.0,581,0.33,108.81999969482422,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLK,261.42,0.078650620429972,66000.0,252,0.33,255.83999633789065,2025-08-20 00:00:00-04:00,2026-03-18 07:58:47
XLY,234.0,0.0751318777615075,66000.0,282,0.33,224.9499969482422,2025-08-21 00:00:00-04:00,2026-03-18 07:58:47
XLK,278.56,0.1366066848682285,66000.0,236,0.33,268.27521316285964,2025-09-17 00:00:00-04:00,2026-03-18 07:58:47
XLC,117.5,0.1220446629445321,66000.0,561,0.33,113.9525812734019,2025-09-11 00:00:00-04:00,2026-03-18 07:58:47
